Formula for Index,Formula for Index,conceptId,Primary Source,conceptId,Secondary Source,conceptId,Current Source Question,V1 Source Question,GridID/Source Question Name,"Deprecated, New, or Revised","Date Deprecated, New, or Revised Variable Pushed to Prod",conceptId,Current Question Text,V1 Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions - Surveys Only,Variable Type,Variable Length,conceptId,Current Format/Value,R0 Format/Value,Required,PII,Notes,Derivation Notes,Dictionary,State Attribute,Default Variable,Date added or modified,GCP Document/Table,Question Type,IMS Review Notes
6298,6298,129084651,Survey,716117817,Where You Live and Work,935378391,Season Address 4- What is the full street address of your seasonal or vacation home?,,SEASADD1_4,,,733619119,4-Seasonal City,,City,SrvLAW_SeaCity4_v1r0,SEACITY4,Char,45,,,,No,Yes,,,,,,2/3/22,,,
6299,6299,129084651,Survey,716117817,Where You Live and Work,935378391,Season Address 4- What is the full street address of your seasonal or vacation home?,,SEASADD1_4,,,843680322,4-Seasonal State/Province,,State/Province,SrvLAW_SeaState4_v1r0,SEAST4,Char,48,,,,No,Yes,,,,,,2/3/22,,,
6300,6300,129084651,Survey,716117817,Where You Live and Work,935378391,Season Address 4- What is the full street address of your seasonal or vacation home?,,SEASADD1_4,,,716343828,4-Seasonal Zip code,,Zip code,SrvLAW_SeaZip4_v1r0,SEAZIP4,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6301,6301,129084651,Survey,716117817,Where You Live and Work,935378391,Season Address 4- What is the full street address of your seasonal or vacation home?,,SEASADD1_4,,,497260033,4-Seasonal Country,,Country,SrvLAW_SeaCountry4_v1r0,SEACOUNTRY4,Char,300,,,,No,Yes,,,,,,2/3/22,,,
6302,6302,129084651,Survey,716117817,Where You Live and Work,558981691,Season Address 4-Please provide the following information:,,SEASADD2_4,,,571926996,4-Seasonal City - Follow-up,,City,SrvLAW_SeaCity4FU_v1r0,SEACITY4_FOLLOWUP,Char,45,,,,No,Yes,,,,,,3/3/22,,,
6303,6303,129084651,Survey,716117817,Where You Live and Work,558981691,Season Address 4-Please provide the following information:,,SEASADD2_4,,,645589113,4-Seasonal State/Province - Follow-up,,State/Province,SrvLAW_SeaState4FU_v1r0,SEAST4_FOLLOWUP,Char,48,,,,No,Yes,,,,,,3/3/22,,,
6304,6304,129084651,Survey,716117817,Where You Live and Work,558981691,Season Address 4-Please provide the following information:,,SEASADD2_4,,,701056236,4-Seasonal Zip code - Follow-up,,Zip code,SrvLAW_SeaZip4FU_v1r0,SEAZIP4_FOLLOWUP,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6305,6305,129084651,Survey,716117817,Where You Live and Work,558981691,Season Address 4-Please provide the following information:,,SEASADD2_4,,,398249766,4-Seasonal Country - Follow-up,,Country,SrvLAW_SeaCountry4FU_v1r0,SEACOUNTRY4_FOLLOWUP,Char,300,,,,No,Yes,,,,,,3/4/22,,,
6306,6306,129084651,Survey,716117817,Where You Live and Work,558981691,Season Address 4-Please provide the following information:,,SEASADD2_4,,,558981691,Season Address 4-Please provide the following information:,,Do Not Know 4-Seasonal,SrvLAW_Seas4DontKnow_v1r0,SEASADD2_4,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6307,6307,129084651,Survey,716117817,Where You Live and Work,192184336,Season Address 4-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_4,,,117544868,4-Seasonal Full Street name #1,,Full Street name #1,SrvLAW_SeaStrName4_v1r0,SEASTRNAME4,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6308,6308,129084651,Survey,716117817,Where You Live and Work,192184336,Season Address 4-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_4,,,868650023,4-Seasonal Full Street name #2,,Full Street name #2,SrvLAW_SeaStrtName4_v1r0,SEASTRTNAME4,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6309,6309,129084651,Survey,716117817,Where You Live and Work,192184336,Season Address 4-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_4,,,192184336,Season Address 4-Please provide the cross streets of the intersection closest to this address:,,Do Not Know 4-Seasonal Cross,SrvLAW_Seas4CrDontKnow_v1r0,SEASADD3_4,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6310,6310,129084651,Survey,716117817,Where You Live and Work,,,,,,,696017690,"4-Seasonal Review 4- In the past 20 years, have you spent a total of 24 months or more in any other seasonal or vacation homes in the U.S.?",,Another vacation home past 20 years,SrvLAW_SeasAddOth4_v1r0,SEASADDOTH4,Num,2,104430631,0 = No,,No,No,,,,,,,,,
6311,6311,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
6312,6312,129084651,Survey,716117817,Where You Live and Work,,,,,New,12/14/22,663869343,Please review the list below and tell us if it includes all of the addresses where you have spent a total of 24 months or more in the past 20 years. 4th Address:,,Summary vacation homes,SrvLAW_SeasAddSum_4_v1r0,SEASADDSUM_4,Num,2,171498611,"0 = No, I want to add another seasonal or vacation home address",,No,No,,,,,,2/2/23,,Optional Multiple Choice,Updated Push to Prod date for new variable
6313,6313,,,,,,,,,,,,,,,,,,,580377720,"1 = Yes, this list is complete",,,,,,,,,,,,
6314,6314,129084651,Survey,716117817,Where You Live and Work,320166033,Season Address 5- What is the full street address of your seasonal or vacation home?,,SEASADD1_5,,,275244758,5-Seasonal Street number,,Street number,SrvLAW_SeaStNum5_v1r0,SEASTNUM5,Char,6,,,,No,Yes,Range check min=0 max=999999,,,,,8/29/23,,,Added range check to Notes
6315,6315,129084651,Survey,716117817,Where You Live and Work,320166033,Season Address 5- What is the full street address of your seasonal or vacation home?,,SEASADD1_5,,,688216428,5-Seasonal Full Street name,,Full Street name,SrvLAW_SeaFullSt5_v1r0,SEAFULLST5,Char,70,,,,No,Yes,,,,,,2/3/22,,,
6316,6316,129084651,Survey,716117817,Where You Live and Work,320166033,Season Address 5- What is the full street address of your seasonal or vacation home?,,SEASADD1_5,,,843674851,"5-Seasonal Apartment, suite, unit, building, etc.",,"Apartment, suite, unit, building, etc.",SrvLAW_SeaApt5_v1r0,SEAAPT5,Char,70,,,,No,Yes,,,,,,2/3/22,,,
6317,6317,129084651,Survey,716117817,Where You Live and Work,320166033,Season Address 5- What is the full street address of your seasonal or vacation home?,,SEASADD1_5,,,570311888,5-Seasonal City,,City,SrvLAW_SeaCity5_v1r0,SEACITY5,Char,45,,,,No,Yes,,,,,,2/3/22,,,
6318,6318,129084651,Survey,716117817,Where You Live and Work,320166033,Season Address 5- What is the full street address of your seasonal or vacation home?,,SEASADD1_5,,,557852952,5-Seasonal State/Province,,State/Province,SrvLAW_SeaState5_v1r0,SEAST5,Char,48,,,,No,Yes,,,,,,2/3/22,,,
6319,6319,129084651,Survey,716117817,Where You Live and Work,320166033,Season Address 5- What is the full street address of your seasonal or vacation home?,,SEASADD1_5,,,970217879,5-Seasonal Zip code,,Zip code,SrvLAW_SeaZip5_v1r0,SEAZIP5,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6320,6320,129084651,Survey,716117817,Where You Live and Work,320166033,Season Address 5- What is the full street address of your seasonal or vacation home?,,SEASADD1_5,,,452103273,5-Seasonal Country,,Country,SrvLAW_SeaCountry5_v1r0,SEACOUNTRY5,Char,300,,,,No,Yes,,,,,,2/3/22,,,
6321,6321,129084651,Survey,716117817,Where You Live and Work,194944818,Season Address 5-Please provide the following information:,,SEASADD2_5,,,101804763,5-Seasonal City - Follow-up,,City,SrvLAW_SeaCity5FU_v1r0,SEACITY5_FOLLOWUP,Char,45,,,,No,Yes,,,,,,3/3/22,,,
6322,6322,129084651,Survey,716117817,Where You Live and Work,194944818,Season Address 5-Please provide the following information:,,SEASADD2_5,,,502068619,5-Seasonal State/Province - Follow-up,,State/Province,SrvLAW_SeaState5FU_v1r0,SEAST5_FOLLOWUP,Char,48,,,,No,Yes,,,,,,3/3/22,,,
6323,6323,129084651,Survey,716117817,Where You Live and Work,194944818,Season Address 5-Please provide the following information:,,SEASADD2_5,,,787391994,5-Seasonal Zip code - Follow-up,,Zip code,SrvLAW_SeaZip5FU_v1r0,SEAZIP5_FOLLOWUP,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6324,6324,129084651,Survey,716117817,Where You Live and Work,194944818,Season Address 5-Please provide the following information:,,SEASADD2_5,,,540340377,5-Seasonal Country - Follow-up,,Country,SrvLAW_SeaCountry5FU_v1r0,SEACOUNTRY5_FOLLOWUP,Char,300,,,,No,Yes,,,,,,3/4/22,,,
6325,6325,129084651,Survey,716117817,Where You Live and Work,194944818,Season Address 5-Please provide the following information:,,SEASADD2_5,,,194944818,Season Address 5-Please provide the following information:,,Do Not Know 5-Seasonal,SrvLAW_Seas5DontKnow_v1r0,SEASADD2_5,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6326,6326,129084651,Survey,716117817,Where You Live and Work,763354979,Season Address 5-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_5,,,677922318,5-Seasonal Full Street name #1,,Full Street name #1,SrvLAW_SeaStrName5_v1r0,SEASTRNAME5,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6327,6327,129084651,Survey,716117817,Where You Live and Work,763354979,Season Address 5-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_5,,,424347938,5-Seasonal Full Street name #2,,Full Street name #2,SrvLAW_SeaStrtName5_v1r0,SEASTRTNAME5,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6328,6328,129084651,Survey,716117817,Where You Live and Work,763354979,Season Address 5-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_5,,,763354979,Season Address 5-Please provide the cross streets of the intersection closest to this address:,,Do Not Know 5-Seasonal Cross,SrvLAW_Seas5CrDontKnow_v1r0,SEASADD3_5,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6329,6329,129084651,Survey,716117817,Where You Live and Work,,,,,,,424272506,"5-Seasonal Review 5- In the past 20 years, have you spent a total of 24 months or more in any other seasonal or vacation homes in the U.S.?",,Another vacation home past 20 years,SrvLAW_SeasAddOth5_v1r0,SEASADDOTH5,Num,2,104430631,0 = No,,No,No,,,,,,,,,
6330,6330,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
6331,6331,129084651,Survey,716117817,Where You Live and Work,,,,,New,12/14/22,275978701,Please review the list below and tell us if it includes all of the addresses where you have spent a total of 24 months or more in the past 20 years. 5th Address:,,Summary vacation homes,SrvLAW_SeasAddSum_5_v1r0,SEASADDSUM_5,Num,2,171498611,"0 = No, I want to add another seasonal or vacation home address",,No,No,,,,,,2/2/23,,Optional Multiple Choice,Updated Push to Prod date for new variable
6332,6332,,,,,,,,,,,,,,,,,,,580377720,"1 = Yes, this list is complete",,,,,,,,,,,,
6333,6333,129084651,Survey,716117817,Where You Live and Work,383535171,Season Address 6- What is the full street address of your seasonal or vacation home?,,SEASADD1_6,,,666445636,6-Seasonal Street number,,Street number,SrvLAW_SeaStNum6_v1r0,SEASTNUM6,Char,6,,,,No,Yes,Range check min=0 max=999999,,,,,8/29/23,,,Added range check to Notes
6334,6334,129084651,Survey,716117817,Where You Live and Work,383535171,Season Address 6- What is the full street address of your seasonal or vacation home?,,SEASADD1_6,,,398622449,6-Seasonal Full Street name,,Full Street name,SrvLAW_SeaFullSt6_v1r0,SEAFULLST6,Char,70,,,,No,Yes,,,,,,2/3/22,,,
6335,6335,129084651,Survey,716117817,Where You Live and Work,383535171,Season Address 6- What is the full street address of your seasonal or vacation home?,,SEASADD1_6,,,521925072,"6-Seasonal Apartment, suite, unit, building, etc.",,"Apartment, suite, unit, building, etc.",SrvLAW_SeaApt6_v1r0,SEAAPT6,Char,70,,,,No,Yes,,,,,,2/3/22,,,
6336,6336,129084651,Survey,716117817,Where You Live and Work,383535171,Season Address 6- What is the full street address of your seasonal or vacation home?,,SEASADD1_6,,,888514303,6-Seasonal City,,City,SrvLAW_SeaCity6_v1r0,SEACITY6,Char,45,,,,No,Yes,,,,,,2/3/22,,,
6337,6337,129084651,Survey,716117817,Where You Live and Work,383535171,Season Address 6- What is the full street address of your seasonal or vacation home?,,SEASADD1_6,,,905002640,6-Seasonal State/Province,,State/Province,SrvLAW_SeaState6_v1r0,SEAST6,Char,48,,,,No,Yes,,,,,,2/3/22,,,
6338,6338,129084651,Survey,716117817,Where You Live and Work,383535171,Season Address 6- What is the full street address of your seasonal or vacation home?,,SEASADD1_6,,,687407917,6-Seasonal Zip code,,Zip code,SrvLAW_SeaZip6_v1r0,SEAZIP6,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6339,6339,129084651,Survey,716117817,Where You Live and Work,383535171,Season Address 6- What is the full street address of your seasonal or vacation home?,,SEASADD1_6,,,932828568,6-Seasonal Country,,Country,SrvLAW_SeaCountry6_v1r0,SEACOUNTRY6,Char,300,,,,No,Yes,,,,,,2/3/22,,,
6340,6340,129084651,Survey,716117817,Where You Live and Work,508587741,Season Address 6-Please provide the following information:,,SEASADD2_6,,,686611963,6-Seasonal City - Follow-up,,City,SrvLAW_SeaCity6FU_v1r0,SEACITY6_FOLLOWUP,Char,45,,,,No,Yes,,,,,,3/3/22,,,
6341,6341,129084651,Survey,716117817,Where You Live and Work,508587741,Season Address 6-Please provide the following information:,,SEASADD2_6,,,900950849,6-Seasonal State/Province - Follow-up,,State/Province,SrvLAW_SeaState6FU_v1r0,SEAST6_FOLLOWUP,Char,48,,,,No,Yes,,,,,,3/3/22,,,
6342,6342,129084651,Survey,716117817,Where You Live and Work,508587741,Season Address 6-Please provide the following information:,,SEASADD2_6,,,103689435,6-Seasonal Zip code - Follow-up,,Zip code,SrvLAW_SeaZip6FU_v1r0,SEAZIP6_FOLLOWUP,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6343,6343,129084651,Survey,716117817,Where You Live and Work,508587741,Season Address 6-Please provide the following information:,,SEASADD2_6,,,659457234,6-Seasonal Country - Follow-up,,Country,SrvLAW_SeaCountry6FU_v1r0,SEACOUNTRY6_FOLLOWUP,Char,300,,,,No,Yes,,,,,,3/3/22,,,
6344,6344,129084651,Survey,716117817,Where You Live and Work,508587741,Season Address 6-Please provide the following information:,,SEASADD2_6,,,508587741,Season Address 6-Please provide the following information:,,Do Not Know 6-Seasonal,SrvLAW_Seas6DontKnow_v1r0,SEASADD2_6,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6345,6345,129084651,Survey,716117817,Where You Live and Work,355179190,Season Address 6-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_6,,,115195973,6-Seasonal Full Street name #1,,Full Street name #1,SrvLAW_SeaStrName6_v1r0,SEASTRNAME6,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6346,6346,129084651,Survey,716117817,Where You Live and Work,355179190,Season Address 6-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_6,,,706861475,6-Seasonal Full Street name #2,,Full Street name #2,SrvLAW_SeaStrtName6_v1r0,SEASTRTNAME6,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6347,6347,129084651,Survey,716117817,Where You Live and Work,355179190,Season Address 6-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_6,,,355179190,Season Address 6-Please provide the cross streets of the intersection closest to this address:,,Do Not Know 6-Seasonal Cross,SrvLAW_Seas6CrDontKnow_v1r0,SEASADD3_6,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6348,6348,129084651,Survey,716117817,Where You Live and Work,,,,,,,484550481,"6-Seasonal Review 6- In the past 20 years, have you spent a total of 24 months or more in any other seasonal or vacation homes in the U.S.?",,Another vacation home past 20 years,SrvLAW_SeasAddOth6_v1r0,SEASADDOTH6,Num,2,104430631,0 = No,,No,No,,,,,,,,,
6349,6349,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
6350,6350,129084651,Survey,716117817,Where You Live and Work,,,,,New,12/14/22,195803565,Please review the list below and tell us if it includes all of the addresses where you have spent a total of 24 months or more in the past 20 years. 6th Address:,,Summary vacation homes,SrvLAW_SeasAddSum_6_v1r0,SEASADDSUM_6,Num,2,171498611,"0 = No, I want to add another seasonal or vacation home address",,No,No,,,,,,2/2/23,,Optional Multiple Choice,Updated Push to Prod date for new variable
6351,6351,,,,,,,,,,,,,,,,,,,580377720,"1 = Yes, this list is complete",,,,,,,,,,,,
6352,6352,129084651,Survey,716117817,Where You Live and Work,133566757,Season Address 7- What is the full street address of your seasonal or vacation home?,,SEASADD1_7,,,199489170,7-Seasonal Street number,,Street number,SrvLAW_SeaStNum7_v1r0,SEASTNUM7,Char,6,,,,No,Yes,Range check min=0 max=999999,,,,,8/29/23,,,Added range check to Notes
6353,6353,129084651,Survey,716117817,Where You Live and Work,133566757,Season Address 7- What is the full street address of your seasonal or vacation home?,,SEASADD1_7,,,605155921,7-Seasonal Full Street name,,Full Street name,SrvLAW_SeaFullSt7_v1r0,SEAFULLST7,Char,70,,,,No,Yes,,,,,,2/3/22,,,
6354,6354,129084651,Survey,716117817,Where You Live and Work,133566757,Season Address 7- What is the full street address of your seasonal or vacation home?,,SEASADD1_7,,,300476868,"7-Seasonal Apartment, suite, unit, building, etc.",,"Apartment, suite, unit, building, etc.",SrvLAW_SeaApt7_v1r0,SEAAPT7,Char,70,,,,No,Yes,,,,,,2/3/22,,,
6355,6355,129084651,Survey,716117817,Where You Live and Work,133566757,Season Address 7- What is the full street address of your seasonal or vacation home?,,SEASADD1_7,,,384403974,7-Seasonal City,,City,SrvLAW_SeaCity7_v1r0,SEACITY7,Char,45,,,,No,Yes,,,,,,2/3/22,,,
6356,6356,129084651,Survey,716117817,Where You Live and Work,133566757,Season Address 7- What is the full street address of your seasonal or vacation home?,,SEASADD1_7,,,585153023,7-Seasonal State/Province,,State/Province,SrvLAW_SeaState7_v1r0,SEAST7,Char,48,,,,No,Yes,,,,,,2/3/22,,,
6357,6357,129084651,Survey,716117817,Where You Live and Work,133566757,Season Address 7- What is the full street address of your seasonal or vacation home?,,SEASADD1_7,,,248996395,7-Seasonal Zip code,,Zip code,SrvLAW_SeaZip7_v1r0,SEAZIP7,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6358,6358,129084651,Survey,716117817,Where You Live and Work,133566757,Season Address 7- What is the full street address of your seasonal or vacation home?,,SEASADD1_7,,,525778327,7-Seasonal Country,,Country,SrvLAW_SeaCountry7_v1r0,SEACOUNTRY7,Char,300,,,,No,Yes,,,,,,2/3/22,,,
6359,6359,129084651,Survey,716117817,Where You Live and Work,293954660,Season Address 7-Please provide the following information:,,SEASADD2_7,,,860984191,7-Seasonal City - Follow-up,,City,SrvLAW_SeaCity7FU_v1r0,SEACITY7_FOLLOWUP,Char,45,,,,No,Yes,,,,,,3/3/22,,,
6360,6360,129084651,Survey,716117817,Where You Live and Work,293954660,Season Address 7-Please provide the following information:,,SEASADD2_7,,,892150843,7-Seasonal State/Province - Follow-up,,State/Province,SrvLAW_SeaState7FU_v1r0,SEAST7_FOLLOWUP,Char,48,,,,No,Yes,,,,,,3/3/22,,,
6361,6361,129084651,Survey,716117817,Where You Live and Work,293954660,Season Address 7-Please provide the following information:,,SEASADD2_7,,,230376384,7-Seasonal Zip code - Follow-up,,Zip code,SrvLAW_SeaZip7FU_v1r0,SEAZIP7_FOLLOWUP,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6362,6362,129084651,Survey,716117817,Where You Live and Work,293954660,Season Address 7-Please provide the following information:,,SEASADD2_7,,,526462982,7-Seasonal Country - Follow-up,,Country,SrvLAW_SeaCountry7FU_v1r0,SEACOUNTRY7_FOLLOWUP,Char,300,,,,No,Yes,,,,,,3/4/22,,,
6363,6363,129084651,Survey,716117817,Where You Live and Work,293954660,Season Address 7-Please provide the following information:,,SEASADD2_7,,,293954660,Season Address 7-Please provide the following information:,,Do Not Know 7-Seasonal,SrvLAW_Seas7DontKnow_v1r0,SEASADD2_7,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6364,6364,129084651,Survey,716117817,Where You Live and Work,851731394,Season Address 7-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_7,,,993557817,7-Seasonal Full Street name #1,,Full Street name #1,SrvLAW_SeaStrName7_v1r0,SEASTRNAME7,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6365,6365,129084651,Survey,716117817,Where You Live and Work,851731394,Season Address 7-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_7,,,110516520,7-Seasonal Full Street name #2,,Full Street name #2,SrvLAW_SeaStrtName7_v1r0,SEASTRTNAME7,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6366,6366,129084651,Survey,716117817,Where You Live and Work,851731394,Season Address 7-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_7,,,851731394,Season Address 7-Please provide the cross streets of the intersection closest to this address:,,Do Not Know 7-Seasonal Cross,SrvLAW_Seas7CrDontKnow_v1r0,SEASADD3_7,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6367,6367,129084651,Survey,716117817,Where You Live and Work,,,,,,,773680071,"7-Seasonal Review 7- In the past 20 years, have you spent a total of 24 months or more in any other seasonal or vacation homes in the U.S.?",,Another vacation home past 20 years,SrvLAW_SeasAddOth7_v1r0,SEASADDOTH7,Num,2,104430631,0 = No,,No,No,,,,,,,,,
6368,6368,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
6369,6369,129084651,Survey,716117817,Where You Live and Work,,,,,New,12/14/22,282326355,Please review the list below and tell us if it includes all of the addresses where you have spent a total of 24 months or more in the past 20 years. 7th Address:,,Summary vacation homes,SrvLAW_SeasAddSum_7_v1r0,SEASADDSUM_7,Num,2,171498611,"0 = No, I want to add another seasonal or vacation home address",,No,No,,,,,,2/2/23,,Optional Multiple Choice,Updated Push to Prod date for new variable
6370,6370,,,,,,,,,,,,,,,,,,,580377720,"1 = Yes, this list is complete",,,,,,,,,,,,
6371,6371,129084651,Survey,716117817,Where You Live and Work,509553290,Season Address 8- What is the full street address of your seasonal or vacation home?,,SEASADD1_8,,,295693777,8-Seasonal Street number,,Street number,SrvLAW_SeaStNum8_v1r0,SEASTNUM8,Char,6,,,,No,Yes,Range check min=0 max=999999,,,,,8/29/23,,,Added range check to Notes
6372,6372,129084651,Survey,716117817,Where You Live and Work,509553290,Season Address 8- What is the full street address of your seasonal or vacation home?,,SEASADD1_8,,,646099557,8-Seasonal Full Street name,,Full Street name,SrvLAW_SeaFullSt8_v1r0,SEAFULLST8,Char,70,,,,No,Yes,,,,,,2/3/22,,,
6373,6373,129084651,Survey,716117817,Where You Live and Work,509553290,Season Address 8- What is the full street address of your seasonal or vacation home?,,SEASADD1_8,,,886284650,"8-Seasonal Apartment, suite, unit, building, etc.",,"Apartment, suite, unit, building, etc.",SrvLAW_SeaApt8_v1r0,SEAAPT8,Char,70,,,,No,Yes,,,,,,2/3/22,,,
6374,6374,129084651,Survey,716117817,Where You Live and Work,509553290,Season Address 8- What is the full street address of your seasonal or vacation home?,,SEASADD1_8,,,367684056,8-Seasonal City,,City,SrvLAW_SeaCity8_v1r0,SEACITY8,Char,45,,,,No,Yes,,,,,,2/3/22,,,
6375,6375,129084651,Survey,716117817,Where You Live and Work,509553290,Season Address 8- What is the full street address of your seasonal or vacation home?,,SEASADD1_8,,,389478638,8-Seasonal State/Province,,State/Province,SrvLAW_SeaState8_v1r0,SEAST8,Char,48,,,,No,Yes,,,,,,2/3/22,,,
6376,6376,129084651,Survey,716117817,Where You Live and Work,509553290,Season Address 8- What is the full street address of your seasonal or vacation home?,,SEASADD1_8,,,949478044,8-Seasonal Zip code,,Zip code,SrvLAW_SeaZip8_v1r0,SEAZIP8,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6377,6377,129084651,Survey,716117817,Where You Live and Work,509553290,Season Address 8- What is the full street address of your seasonal or vacation home?,,SEASADD1_8,,,298170847,8-Seasonal Country,,Country,SrvLAW_SeaCountry8_v1r0,SEACOUNTRY8,Char,300,,,,No,Yes,,,,,,2/3/22,,,
6378,6378,129084651,Survey,716117817,Where You Live and Work,268612977,Season Address 8-Please provide the following information:,,SEASADD2_8,,,599753334,8-Seasonal City - Follow-up,,City,SrvLAW_SeaCity8FU_v1r0,SEACITY8_FOLLOWUP,Char,45,,,,No,Yes,,,,,,3/3/22,,,
6379,6379,129084651,Survey,716117817,Where You Live and Work,268612977,Season Address 8-Please provide the following information:,,SEASADD2_8,,,467126157,8-Seasonal State/Province - Follow-up,,State/Province,SrvLAW_SeaState8FU_v1r0,SEAST8_FOLLOWUP,Char,48,,,,No,Yes,,,,,,3/3/22,,,
6380,6380,129084651,Survey,716117817,Where You Live and Work,268612977,Season Address 8-Please provide the following information:,,SEASADD2_8,,,421779583,8-Seasonal Zip code - Follow-up,,Zip code,SrvLAW_SeaZip8FU_v1r0,SEAZIP8_FOLLOWUP,Char,8,,,,No,Yes,,,,,,7/25/22,,,
6381,6381,129084651,Survey,716117817,Where You Live and Work,268612977,Season Address 8-Please provide the following information:,,SEASADD2_8,,,587765197,8-Seasonal Country - Follow-up,,Country,SrvLAW_SeaCountry8FU_v1r0,SEACOUNTRY8_FOLLOWUP,Char,300,,,,No,Yes,,,,,,3/3/22,,,
6382,6382,129084651,Survey,716117817,Where You Live and Work,268612977,Season Address 8-Please provide the following information:,,SEASADD2_8,,,268612977,Season Address 8-Please provide the following information:,,Do Not Know 8-Seasonal,SrvLAW_Seas8DontKnow_v1r0,SEASADD2_8,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6383,6383,129084651,Survey,716117817,Where You Live and Work,172669345,Season Address 8-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_8,,,520630754,8-Seasonal Full Street name #1,,Full Street name #1,SrvLAW_SeaStrName8_v1r0,SEASTRNAME8,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6384,6384,129084651,Survey,716117817,Where You Live and Work,172669345,Season Address 8-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_8,,,142318726,8-Seasonal Full Street name #2,,Full Street name #2,SrvLAW_SeaStrtName8_v1r0,SEASTRTNAME8,Char,70,,,,No,Yes,,,,,,3/3/22,,,
6385,6385,129084651,Survey,716117817,Where You Live and Work,172669345,Season Address 8-Please provide the cross streets of the intersection closest to this address:,,SEASADD3_8,,,172669345,Season Address 8-Please provide the cross streets of the intersection closest to this address:,,Do Not Know 8-Seasonal Cross,SrvLAW_Seas8CrDontKnow_v1r0,SEASADD3_8,Num,2,178420302,77 = Unavailable/Unknown,,No,No,,,,,,3/10/22,,,
6386,6386,129084651,Survey,716117817,Where You Live and Work,,,,,,,348817644,"8-Seasonal Review 8- In the past 20 years, have you spent a total of 24 months or more in any other seasonal or vacation homes in the U.S.?",,Another vacation home past 20 years,SrvLAW_SeasAddOth8_v1r0,SEASADDOTH8,Num,2,104430631,0 = No,,No,No,,,,,,,,,
6387,6387,,,,,,,,,,,,,,,,,,,353358909,1 = Yes,,,,,,,,,,,,
6388,6388,129084651,Survey,716117817,Where You Live and Work,,,,,New,12/14/22,141249692,Please review the list below and tell us if it includes all of the addresses where you have spent a total of 24 months or more in the past 20 years. 8th Address:,,Summary vacation homes,SrvLAW_SeasAddSum_8_v1r0,SEASADDSUM_8,Num,2,171498611,"0 = No, I want to add another seasonal or vacation home address",,No,No,,,,,,2/2/23,,Optional Multiple Choice,Updated Push to Prod date for new variable
6389,6389,,,,,,,,,,,,,,,,,,,580377720,"1 = Yes, this list is complete",,,,,,,,,,,,
