conceptId_Primary Source,Primary Source,conceptId_Secondary Source,Secondary Source,conceptID_Source_Question,Source Question,conceptId_Question Text,Question Text,Variable Label,Variable Name,Connect Value for Select all that apply questions,Variable Type,Variable Length,conceptId_Format/Value,Connect Value,,Old Quest Value,Required,PII,Notes,,,,,Date Added or Modified,,Quest_Source Question,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used THC concentrates via dabbing  when you were age [X / 50] to age [Y / 59 / current age], about how many servings did you have per day? ","How many servings THC concentrates via dabbing used, [X / 50] to age [Y / 59 / current age]",SrvSAS_THCServing5059_v1r0,THMARLIFEF,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used THC concentrates via dabbing  when you were age [X / 60] to age [Y / 69 / current age], about how many servings did you have per day? ","How many servings THC concentrates via dabbing used, [X / 60] to age [Y / 69 / current age]",SrvSAS_THCServing6069_v1r0,THMARLIFEG,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"On days that you used THC concentrates via dabbing  when you were age [X / 70] and older, about how many servings did you have per day? ","How many servings THC concentrates via dabbing used, [X / 70] and older",SrvSAS_THCServing70_v1r0,THMARLIFEH,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Have you ever had an alcoholic beverage (beer, wine, wine cooler, liquor, cocktail, or a mixed drink) in your  life?",Ever had an alcoholic beverage,SrvSAS_EverHadAlcohol_v1r0,ALCOHOL1,Num,1,,0 = No,,1 = Yes,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = No,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How many alcoholic beverages have you had in your  life?,How many alcoholic beverage in life,SrvSAS_DaysAlcohol_v1r0,ALCOHOL2,Num,1,,0= 10 or less,,1= 10 or less,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = 11 to 49,,2= 11—49 ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 50 to 99,,3= 50—99 ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 100 or more,,4= 100 or more,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you first drank alcohol? ,Age first drank alcohol,SrvSAS_AgeFirstAlc_v1r0,ALCOHOL3,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age drank alcohol on regular basis,,Age started using on regular basis,Age drank alcohol on regular basis,SrvSAS_AgeAlcReg_v1r0,REGALCOHOL_AGE,Num,2,,N/A,,N/A,No,No,,,,,,10/29/21,,ALCOHOL4,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Age drank alcohol on regular basis,,Age drank alcohol on regular basis,"Age drank alcohol on regular basis, Never drank",SrvSAS_NeverAlcReg_v1r0,ALCOHOL4,Num,2,,44 = Never,,,,,,,,,,11/23/21,,ALCOHOL4,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, did you drink alcohol?",Drink alcohol over past 12 months,SrvSAS_DrinkAlc12Mo_v1r0,ALCOHOL5,Num,1,,0 = No,,1 = Yes,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1 = Yes,,2 = No,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,How old were you when you last drank alcohol?,Age last drank alcohol,SrvSAS_AgeDrankAlcL_v1r0,ALCOHOL6,Num,2,,N/A,,N/A,No,No,,,,,,12/6/21,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Why did you stop drinking alcohol? Select all that apply.,,Personal Choice,Personal Choice,SrvSAS_PersonalChoice_v1r0,0,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,ALCOHOL7,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Why did you stop drinking alcohol? Select all that apply.,,Health or medical reasons,Health or medical reasons,SrvSAS_HealthReasons_v1r0,1,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,ALCOHOL7,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Why did you stop drinking alcohol? Select all that apply.,,Interactions with medications,Interactions with medications,SrvSAS_InteractMeds_v1r0,2,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,ALCOHOL7,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Why did you stop drinking alcohol? Select all that apply.,,Other |__|,Other: Please describe,SrvSAS_StopAlcOther_v1r0,55,Num,1,,0=No,,2=No,No,No,,,,,,10/29/21,,ALCOHOL7,,
,,,,,,,,,,,,,,1=Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,Why did you stop drinking alcohol? Select all that apply.,,Why did you stop drinking alcohol? Other: Please describe text box,Why did you stop drinking alcohol - Descriptive,SrvSAS_StopAlcOthDesc_v1r0,ALCOHOL7OTH,Char,300,,N/A,,N/A,No,No,,,,,,11/23/21,,ALCOHOL7,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Over the past 12 months, did you drink any of these types of alcohol? Select all that apply.",,Beer or hard cider,Beer or hard cider,SrvSAS_Beer_ v1r0,0,Num,1,,0 = No,,2=No,No,No,,,,,,1020/2021,,ALCOHOL8,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Over the past 12 months, did you drink any of these types of alcohol? Select all that apply.",,Liquor or mixed drinks,Liquor or mixed drinks,SrvSAS_Liquor_v1r0,1,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,ALCOHOL8,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Over the past 12 months, did you drink any of these types of alcohol? Select all that apply.",,Wine,Wine,SrvSAS_Wine_v1r0,2,Num,1,,0 = No,,2=No,No,No,,,,,,10/20/21,,ALCOHOL8,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"Over the past 12 months, did you drink any of these types of alcohol? Select all that apply.",,Other,"Other (such as wine coolers, ""hard soda,"" spiked seltzer (sparkling water), Smirnoff Ice, malt liquor, or pre-mixed cocktails)",SrvSAS_OtherAlc_v1r0,55,Num,1,,0 = No,,2=No,No,No,,,,,,10/29/21,,ALCOHOL8,,
,,,,,,,,,,,,,,1 = Yes,,1=Yes,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, how often did you usually drink beer or hard cider?","Often drink beer or cider, past 12 months",SrvSAS_BeerOften12Mo_v1r0,BEER1,Num,1,,0 = Less than once per month,,1= Less than once a month,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = Once per month,,2= Once a month,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 2 to 3 times per month,,3= 2 – 3 times a month,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 to 2 times per week,,4= 1 – 2 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 3 to 4 times per week,,5= 3 – 4 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,5 = 5 to 6 times per week,,6= 5 – 6 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,6= Every day,,7= Every day,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, on the days that you drank beer or hard cider, how many 12-ounce beers or hard ciders did you drink per day?","How many servings drink beer or cider, past 12 months",SrvSAS_BeerServing12Mo_v1r0,BEER2,Num,1,,0= 1 beer,,1= 1 beer,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1= 2 beers,,2= 2 beers,,,,,,,,,,,,
,,,,,,,,,,,,,,2= 3 beers,,3= 3 beers,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 4 beers,,4= 4 beers,,,,,,,,,,,,
,,,,,,,,,,,,,,4= 5 beers,,5= 5 beers,,,,,,,,,,,,
,,,,,,,,,,,,,,5= 6 or more beers,,6= 6 or more beers,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, how often did you usually drink liquor or mixed drinks?","Often drink liquor or mixed drinks, past 12 months",SrvSAS_LiquorOften12Mo_v1r0,LIQUOR1,Num,1,,0 = Less than once per month,,1= Less than once a month,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = Once per month,,2= Once a month,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 2 to 3 times per month,,3= 2 – 3 times a month,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 to 2 times per week,,4= 1 – 2 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 3 to 4 times per week,,5= 3 – 4 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,5 = 5 to 6 times per week,,6= 5 – 6 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,6= Every day,,7= Every day,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, on the days that you drank liquor or mixed drinks, how many shots of liquor (1 shot = 1.5 ounces) did you drink per day?","How many servings drink liquor or mixed drinks, past 12 months",SrvSAS_LiquorServ12Mo_v1r0,LIQUOR2,Num,1,,0= 1 shot,,1= 1 shot,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1= 2 shots,,2= 2 shots,,,,,,,,,,,,
,,,,,,,,,,,,,,2= 3 shots,,3= 3 shots,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 4 shots,,4= 4 shots,,,,,,,,,,,,
,,,,,,,,,,,,,,4= 5 shots,,5= 5 shots,,,,,,,,,,,,
,,,,,,,,,,,,,,5= 6 or more shots,,6= 6 or more shots,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, how often did you usually drink wine?","Often drink wine, past 12 months",SrvSAS_WineOften12Mo_v1r0,WINE1,Num,1,,0 = Less than once per month,,1= Less than once a month,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = Once per month,,2= Once a month,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 2 to 3 times per month,,3= 2 – 3 times a month,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 to 2 times per week,,4= 1 – 2 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 3 to 4 times per week,,5= 3 – 4 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,5 = 5 to 6 times per week,,6= 5 – 6 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,6= Every day,,7= Every day,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, on the days that you drank wine, how many 5-ounce glasses of wine did you drink per day?","How many servings drink wine, past 12 months",SrvSAS_WineServ12Mo_v1r0,WINE2,Num,1,,0= 1 glass,,1= 1 glass,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1= 2 glasses,,2= 2 glasses,,,,,,,,,,,,
,,,,,,,,,,,,,,2= 3 glasses,,3= 3 glasses,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 4 glasses,,4= 4 glasses,,,,,,,,,,,,
,,,,,,,,,,,,,,4= 5 glasses,,5= 5 glasses,,,,,,,,,,,,
,,,,,,,,,,,,,,5= 6 or more glasses,,6= 6 or more glasses,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, how often did you usually drink other alcoholic beverages (such as wine coolers, ""hard soda,"" spiked seltzer (sparkling water), Smirnoff Ice, malt liquor, or pre-mixed cocktails)?","Often drink other alcoholic beverages, past 12 months",SrvSAS_OthAlcOften12Mo_v1r0,OTHALC1,Num,1,,0 = Less than once per month,,1= Less than once a month,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1 = Once per month,,2= Once a month,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = 2 to 3 times per month,,3= 2 – 3 times a month,,,,,,,,,,,,
,,,,,,,,,,,,,,3 = 1 to 2 times per week,,4= 1 – 2 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,4 = 3 to 4 times per week,,5= 3 – 4 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,5 = 5 to 6 times per week,,6= 5 – 6 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,6= Every day,,7= Every day,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, on the days that you drank other alcoholic beverages, how many servings of these  beverages (such as wine coolers, ""hard soda,"" spiked seltzer (sparkling water), Smirnoff Ice, malt liquor, or pre-mixed cocktails) did you drink per day?","How many servings other alcoholic beverages, past 12 months",SrvSAS_OthAlcServ12Mo_v1r0,OTHALC2,Num,1,,0= 1 serving,,1= 1 serving,No,No,,,,,,10/25/21,,,,
,,,,,,,,,,,,,,1= 2 servings,,2= 2 servings,,,,,,,,,,,,
,,,,,,,,,,,,,,2= 3 servings,,3= 3 servings,,,,,,,,,,,,
,,,,,,,,,,,,,,3= 4 servings,,4= 4 servings,,,,,,,,,,,,
,,,,,,,,,,,,,,4= 5 servings,,5= 5 servings,,,,,,,,,,,,
,,,,,,,,,,,,,,5= 6 or more servings,,6= 6 or more servings,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,,,"Over the past 12 months, how often did you have [4/5] or more alcoholic beverages at the same sitting or occasion? (One drink is equal to a 12-ounce beer, a 5-ounce glass of wine, one mixed drink, or a shot of liquor.)",Often have 4/5 or more alcoholic beverages at same sitting,SrvSAS_4To5AlcBev_v1r0,ALCOHOL9,Num,2,,44 = Never,,1= Never,No,No,,,,,,11/23/21,,,,
,,,,,,,,,,,,,,1= 1 to 5 times per year,,2= 1 – 5 times a year,,,,,,,,,,,,
,,,,,,,,,,,,,,2= 6 to 11 times per year,,3= 6 – 11 times a year,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Once per month,,4= Once a month,,,,,,,,,,,,
,,,,,,,,,,,,,,4= 2 to 3 times per month,,5= 2 – 3 times a month,,,,,,,,,,,,
,,,,,,,,,,,,,,5= Once per week,,6= Once a week,,,,,,,,,,,,
,,,,,,,,,,,,,,6= Twice per week,,7= Twice a week,,,,,,,,,,,,
,,,,,,,,,,,,,,7= 3 to 4 times per week,,8= 3 – 4 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,8= 5 to 6 times per week,,9= 5 – 6 times a week,,,,,,,,,,,,
,,,,,,,,,,,,,,9= Every day,,10= Every day,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"During the year(s) you were drinking, about how often did you drink alcohol?  ",,"During the year(s) you were drinking, when you were up to age 17, about how often did you drink alcohol?  ","How often drink alcohol, up to age 17",SrvSAS_AlcOften17_v1r0,ALCLIFE2A,Num,2,,0= Didn't drink during this time ,,1= Didn't drink during this time ,No,No,,,,,,3/7/22,,GRID_ALCLIFE2,,
,,,,,,,,,,,,,,1= A few times per year ,,2= A few times per year ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = A few times per month ,,3= A few times per  month ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Once per week ,,4= Once per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,4= A few times per week ,,5= A few times per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,5= Once per day ,,6= Once per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,6 = 2 to 3 times per day ,,7= 2-3 times per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,7 = 4 to 5 times per day ,,8= 4-5 timer per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,8= 6 or more times per day ,,9= 6 or more times per day ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"During the year(s) you were drinking, about how often did you drink alcohol?  ",,"During the year(s) you were drinking, when you were between ages 18 and 24, about how often did you drink alcohol?  ","How often drink alcohol, Age 18 to Age 24",SrvSAS_AlcOften1824_v1r0,ALCLIFE2B,Num,2,,0= Didn't drink during this time ,,1= Didn't drink during this time ,No,No,,,,,,3/7/22,,GRID_ALCLIFE2,,
,,,,,,,,,,,,,,1= A few times per year ,,2= A few times per year ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = A few times per month ,,3= A few times per  month ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Once per week ,,4= Once per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,4= A few times per week ,,5= A few times per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,5= Once per day ,,6= Once per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,6 = 2 to 3 times per day ,,7= 2-3 times per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,7 = 4 to 5 times per day ,,8= 4-5 timer per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,8= 6 or more times per day ,,9= 6 or more times per day ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"During the year(s) you were drinking, about how often did you drink alcohol?  ",,"During the year(s) you were drinking, when you were between ages 25 and 29, about how often did you drink alcohol?  ","How often drink alcohol, Age 25 to Age 29",SrvSAS_AlcOften2529_v1r0,ALCLIFE2C,Num,2,,0= Didn't drink during this time ,,1= Didn't drink during this time ,No,No,,,,,,3/7/22,,GRID_ALCLIFE2,,
,,,,,,,,,,,,,,1= A few times per year ,,2= A few times per year ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = A few times per month ,,3= A few times per  month ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Once per week ,,4= Once per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,4= A few times per week ,,5= A few times per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,5= Once per day ,,6= Once per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,6 = 2 to 3 times per day ,,7= 2-3 times per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,7 = 4 to 5 times per day ,,8= 4-5 timer per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,8= 6 or more times per day ,,9= 6 or more times per day ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"During the year(s) you were drinking, about how often did you drink alcohol?  ",,"During the year(s) you were drinking, when you were between ages 30 and 39, about how often did you drink alcohol?  ","How often drink alcohol, Age 30 to Age 39",SrvSAS_AlcOften3039_v1r0,ALCLIFE2D,Num,2,,0= Didn't drink during this time ,,1= Didn't drink during this time ,No,No,,,,,,3/7/22,,GRID_ALCLIFE2,,
,,,,,,,,,,,,,,1= A few times per year ,,2= A few times per year ,,,,,,,,,,,,
,,,,,,,,,,,,,,2 = A few times per month ,,3= A few times per  month ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Once per week ,,4= Once per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,4= A few times per week ,,5= A few times per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,5= Once per day ,,6= Once per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,6 = 2 to 3 times per day ,,7= 2-3 times per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,7 = 4 to 5 times per day ,,8= 4-5 timer per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,8= 6 or more times per day ,,9= 6 or more times per day ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"During the year(s) you were drinking, about how often did you drink alcohol?  ",,"During the year(s) you were drinking, when you were between ages 40 and 49, about how often did you drink alcohol?  ","How often drink alcohol, Age 40 to Age 49",SrvSAS_AlcOften4049_v1r0,ALCLIFE2E,Num,2,,0= Didn't drink during this time ,,1= Didn't drink during this time ,No,No,,,,,,3/7/22,,GRID_ALCLIFE2,,
,,,,,,,,,,,,,,1= A few times per year ,,2= A few times per year ,,,,,,,,,,,,
,,,,,,,,,,,,,,2= A few times per month ,,3= A few times per  month ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Once per week ,,4= Once per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,4= A few times per week ,,5= A few times per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,5= Once per day ,,6= Once per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,6 = 2 to 3 times per day ,,7= 2-3 times per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,7 = 4 to 5 times per day ,,8= 4-5 timer per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,8= 6 or more times per day ,,9= 6 or more times per day ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"During the year(s) you were drinking, about how often did you drink alcohol?  ",,"During the year(s) you were drinking, when you were between ages 50 and 59, about how often did you drink alcohol?  ","How often drink alcohol, Age 50 to Age 59",SrvSAS_AlcOften5059_v1r0,ALCLIFE2F,Num,2,,0= Didn't drink during this time ,,1= Didn't drink during this time ,No,No,,,,,,3/7/22,,GRID_ALCLIFE2,,
,,,,,,,,,,,,,,1= A few times per year ,,2= A few times per year ,,,,,,,,,,,,
,,,,,,,,,,,,,,2= A few times per month ,,3= A few times per  month ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Once per week ,,4= Once per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,4= A few times per week ,,5= A few times per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,5= Once per day ,,6= Once per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,6 = 2 to 3 times per day ,,7= 2-3 times per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,7 = 4 to 5 times per day ,,8= 4-5 timer per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,8= 6 or more times per day ,,9= 6 or more times per day ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"During the year(s) you were drinking, about how often did you drink alcohol?  ",,"During the year(s) you were drinking, when you were between ages 60 and 69, about how often did you drink alcohol?  ","How often drink alcohol, Age 60 to Age 69",SrvSAS_AlcOften6069_v1r0,ALCLIFE2G,Num,2,,0= Didn't drink during this time ,,1= Didn't drink during this time ,No,No,,,,,,3/7/22,,GRID_ALCLIFE2,,
,,,,,,,,,,,,,,1= A few times per year ,,2= A few times per year ,,,,,,,,,,,,
,,,,,,,,,,,,,,2= A few times per month ,,3= A few times per  month ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Once per week ,,4= Once per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,4= A few times per week ,,5= A few times per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,5= Once per day ,,6= Once per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,6 = 2 to 3 times per day ,,7= 2-3 times per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,7 = 4 to 5 times per day ,,8= 4-5 timer per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,8= 6 or more times per day ,,9= 6 or more times per day ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,"During the year(s) you were drinking, about how often did you drink alcohol?  ",,"During the year(s) you were drinking, when you were age 70 and older, about how often did you drink alcohol?  ","How often drink alcohol, Age 70 and older",SrvSAS_AlcOften70_v1r0,ALCLIFE2H,Num,2,,0= Didn't drink during this time ,,1= Didn't drink during this time ,No,No,,,,,,3/7/22,,GRID_ALCLIFE2,,
,,,,,,,,,,,,,,1= A few times per year ,,2= A few times per year ,,,,,,,,,,,,
,,,,,,,,,,,,,,2= A few times per month ,,3= A few times per  month ,,,,,,,,,,,,
,,,,,,,,,,,,,,3= Once per week ,,4= Once per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,4= A few times per week ,,5= A few times per week ,,,,,,,,,,,,
,,,,,,,,,,,,,,5= Once per day ,,6= Once per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,6 = 2 to 3 times per day ,,7= 2-3 times per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,7 = 4 to 5 times per day ,,8= 4-5 timer per day ,,,,,,,,,,,,
,,,,,,,,,,,,,,8= 6 or more times per day ,,9= 6 or more times per day ,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,What type(s) of alcoholic beverages did you usually drink?,,What type(s) of alcoholic beverages did you usually drink when you were up to age 17 - Beer,Types of alcoholic beverages- age 17 - Beer,SrvSAS_Beer17_v1r0,ALCLIFE4A_0,Num,1,,0 = No,,1= Beer,No,No,,,,,,12/21/21,,GRID_ALCLIFE4,,
,,,,,,,,,,,,,,1 = Yes,,,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,What type(s) of alcoholic beverages did you usually drink?,,What type(s) of alcoholic beverages did you usually drink when you were up to age 17 - Liquor or mixed drinks,Types of alcoholic beverages- age 17 - Liquor or mixed drinks,SrvSAS_Liquor17_v1r0,ALCLIFE4A_1,Num,1,,0 = No,,2= Liquor or mixed drinks,No,No,,,,,,,,GRID_ALCLIFE4,,
,,,,,,,,,,,,,,1 = Yes,,,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,What type(s) of alcoholic beverages did you usually drink?,,What type(s) of alcoholic beverages did you usually drink when you were up to age 17 - Wine,Types of alcoholic beverages- age 17 - Wine,SrvSAS_Wine17_v1r0,ALCLIFE4A_2,Num,1,,0 = No,,3= Wine,No,No,,,,,,,,GRID_ALCLIFE4,,
,,,,,,,,,,,,,,1 = Yes,,,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,What type(s) of alcoholic beverages did you usually drink?,,"What type(s) of alcoholic beverages did you usually drink when you were up to age 17 - Other alcoholic beverages (such as wine coolers, ""hard soda,"" spiked seltzer (sparkling water), Smirnoff Ice, malt liquor, or pre-mixed cocktails)",Types of alcoholic beverages- age 17 - Other, SrvSAS_Other17_v1r0,ALCLIFE4A_3,Num,1,,0 = No,,"4= Other alcoholic beverages (such as wine coolers, ""hard soda,"" spiked seltzer (sparkling water), Smirnoff Ice, malt liquor, or pre-mixed cocktails)",No,No,,,,,,,,GRID_ALCLIFE4,,
,,,,,,,,,,,,,,1 = Yes,,,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,What type(s) of alcoholic beverages did you usually drink?,,What type(s) of alcoholic beverages did you usually drink when you were between age 18 and age 24 - Beer,Types of alcoholic beverages- ages 18 to 24 - Beer,SrvSAS_Beer1824_v1r0,ALCLIFE4B_0,Num,1,,0 = No,,1= Beer,No,No,,,,,,12/21/21,,GRID_ALCLIFE4,,
,,,,,,,,,,,,,,1 = Yes,,,,,,,,,,,,,,
,Survey,,"Smoking, Alcohol, and Sun Exposure",,What type(s) of alcoholic beverages did you usually drink?,,What type(s) of alcoholic beverages did you usually drink when you were between age 18 and age 24 - Liquor or mixed drinks,Types of alcoholic beverages- ages 18 to 24 - Liquor or mixed drinks,SrvSAS_Liquor1824_v1r0,ALCLIFE4B_1,Num,1,,0 = No,,2= Liquor or mixed drinks,No,No,,,,,,,,GRID_ALCLIFE4,,
,,,,,,,,,,,,,,1 = Yes,,,,,,,,,,,,,,
